id,nearest_rev,nearest_fountain,nearest_rvertes,nearest_pcyclable,nearest_murbain,nearest_iexterne,min_col,min_val
576,3272.755100580186,19.390820435344125,3236.122259457047,344.13312277727454,2488.2088054010133,8.388220212329344,nearest_iexterne,8.388220212329344
577,3510.3819547823477,1.3551993784225753,2809.8843364044433,314.2004427505254,1629.2323586919904,23.92537594189143,nearest_fountain,1.3551993784225753
578,3511.1727087605277,1.3551993784225753,2810.592970701582,312.8495218504989,1628.924482689267,23.440068705464444,nearest_fountain,1.3551993784225753
579,3685.024205292559,1.822185634169576,2786.0118495886104,186.09017444415045,1487.6753490341412,28.82049980090769,nearest_fountain,1.822185634169576
580,3684.517611996408,1.822185634169576,2787.832319968956,184.64063345188245,1488.9273987059266,28.635061699058408,nearest_fountain,1.822185634169576
581,2200.3070244864257,352.0474262057069,1865.9864157047523,37.00122359922399,2595.9279839735764,17.471797582841376,nearest_iexterne,17.471797582841376
582,2594.871548371515,378.8679973462546,2106.440523693375,260.5426203024837,3293.914593306307,8.899625830401938,nearest_iexterne,8.899625830401938
583,3293.6790686989007,6.070144113145238,2741.897055730155,73.59350131631491,3257.396496904733,22.240469033535263,nearest_fountain,6.070144113145238
584,3289.6883772579404,6.070144113145238,2736.948293844343,69.13168014686839,3261.855981392704,24.57778581835972,nearest_fountain,6.070144113145238
585,2617.078100655692,632.597915478577,2007.0636621265623,156.38492232805186,3134.22628666123,18.141911322889584,nearest_iexterne,18.141911322889584
586,2036.9461318251178,11.88360995613844,1249.6081907471496,314.16874797466255,2282.0229777370337,17.777249453690107,nearest_fountain,11.88360995613844
587,2034.503364287208,11.88360995613844,1238.5939321582848,316.7520839736469,2276.5303997063074,15.152415209556473,nearest_fountain,11.88360995613844
588,2866.0615055494536,69.91028565068424,2243.751400715906,188.19651581231224,3210.009304184756,35.82519913632135,nearest_iexterne,35.82519913632135
589,3005.3651475570837,171.69822318297366,2389.834557700924,23.62121094049127,3333.930097714236,38.44686858494802,nearest_pcyclable,23.62121094049127
590,2932.2115973436803,69.91028565068424,2309.50911669934,128.32028880185277,3278.6285862210007,15.442265683796968,nearest_iexterne,15.442265683796968
591,2935.9131279313237,83.75196905434498,2428.6515239242817,167.24974965153436,3360.5871009323546,9.980053515712779,nearest_iexterne,9.980053515712779
592,1967.1226019589562,35.660853418424104,1454.9684351430808,148.43080960929547,2621.2408780320684,7.8733145960793625,nearest_iexterne,7.8733145960793625
593,2947.655023266256,83.75196905434498,2438.8634797643185,103.91968526355444,3333.9248461463058,17.184536734210006,nearest_iexterne,17.184536734210006
594,1959.0660791593166,38.123962938282695,1498.7910764905478,116.92098734610107,771.5431731842277,244.87610367454678,nearest_fountain,38.123962938282695
595,1793.4538889973564,53.89430367209311,1326.6250719100678,42.51832668206583,942.130445322788,305.4847569633154,nearest_pcyclable,42.51832668206583
596,1578.9294370885686,384.6132543204715,1125.9410261916858,169.88847044869414,1064.1933851331626,34.70085914892938,nearest_iexterne,34.70085914892938
597,2655.030552435731,300.5649730598197,1988.630077069274,41.201851742802944,974.076688207051,360.00222106392005,nearest_pcyclable,41.201851742802944
598,2436.593899618101,401.0689364804433,1122.8902814096089,71.13191414704723,1479.1713721592391,48.28534531679337,nearest_iexterne,48.28534531679337
599,2249.090677309138,248.95481229927745,630.4382608504728,51.96950511572889,1093.5040642994857,43.0335726022541,nearest_iexterne,43.0335726022541
600,2039.3639231342397,213.7665683789444,1119.571501279711,13.633509903523887,1138.406162295614,23.863454129198075,nearest_pcyclable,13.633509903523887
601,1145.9213880082937,207.9883189593762,722.9007255896452,82.75419250004201,494.51124140347724,41.56933310479383,nearest_iexterne,41.56933310479383
602,888.3937778742044,208.2605525039163,473.965904165587,333.29745610777303,269.99767730292496,19.60205596026575,nearest_iexterne,19.60205596026575
603,3020.000708837192,390.17549093512565,1728.0511883117872,84.65991744917221,1177.5532269420228,17.907033537968136,nearest_iexterne,17.907033537968136
604,1443.8850622809755,231.21767379773698,569.0495318198937,239.0682167222694,526.1585334628272,35.03013421704068,nearest_iexterne,35.03013421704068
605,1537.846849807133,147.30424238937627,331.2024435841485,146.9536220085463,407.76462402518786,29.447816674611566,nearest_iexterne,29.447816674611566
606,1476.1274779281787,285.07627953118,900.7536194525976,63.12840046863022,789.5948174868807,23.288415845818424,nearest_iexterne,23.288415845818424
607,1972.8387574132505,115.27861282609285,1575.197113438181,13.98435222368511,653.0488168388458,190.7938625501058,nearest_pcyclable,13.98435222368511
608,610.9926893750514,168.6425815964974,171.3963855953871,187.54282347818648,216.44019734945041,157.3166945085352,nearest_iexterne,157.3166945085352
609,1012.2376205777214,109.12812599109847,560.9392834538173,247.09582587922273,535.7187422690031,2.5605821787570893,nearest_iexterne,2.5605821787570893
610,2384.759795138987,47.87299718328866,1310.3740237941488,271.2223287233962,124.60567539042455,28.445791236315653,nearest_iexterne,28.445791236315653
611,2385.7147305747276,47.87299718328866,1281.3043749626702,316.9144762108215,171.1784069921698,22.586461029395057,nearest_iexterne,22.586461029395057
612,1031.3870313429452,208.2605525039163,502.2900690170833,333.51910447209184,253.0563274546004,10.877512228111632,nearest_iexterne,10.877512228111632
613,1562.4162053089897,147.30424238937627,456.89629796709005,159.8961173848335,494.4190228701175,31.50997335873971,nearest_iexterne,31.50997335873971
614,2017.3996421098734,136.5892369186978,1492.036806298866,124.85032613536181,1036.3873922305831,711.2697281172307,nearest_pcyclable,124.85032613536181
615,1923.5278426272243,38.123962938282695,1465.6341543897006,146.53059294494528,794.851581223097,252.0658647368517,nearest_fountain,38.123962938282695
616,1938.3113338186247,34.12855465320116,1484.8551508834569,123.32798863735901,767.1434222926384,218.71254127561147,nearest_fountain,34.12855465320116
617,1374.272234431224,513.3722338385625,857.6295080800209,182.61727664759408,1299.85210518797,369.6225337695902,nearest_pcyclable,182.61727664759408
618,2385.010823302577,300.5649730598197,1853.9187025418016,124.2834984524534,890.3361808753817,564.1253993602744,nearest_pcyclable,124.2834984524534
619,1105.916883654275,109.12812599109847,658.2550845269957,190.16469871518487,580.9265922536715,11.976777787627379,nearest_iexterne,11.976777787627379
620,2006.9681508891506,213.7665683789444,969.5639817182156,72.66712878205416,1014.7554373349577,6.521225407636261,nearest_iexterne,6.521225407636261
