id,nearest_rev,nearest_fountain,nearest_rvertes,nearest_pcyclable,nearest_murbain,nearest_iexterne,min_col,min_val,longitude,latitude,objectid,superficie,count
796,3289.184109937306,158.386084523968,472.69454860388254,10.047048825012029,0.0016190060022762,279.36210964168515,nearest_murbain,0.0016190060022762,-73.654095514485,45.5831212844373,5449,31.503039362363765,10
797,1955.202432130896,35.660853418424104,1443.9246871457349,122.48984078197162,2602.186250007827,25.163251489801706,nearest_iexterne,25.163251489801706,-73.5433791844765,45.6029555321637,5222,0.507650912623736,2
798,12534.169394781404,9.654596498793811,5658.017874814553,12.773527312738423,0.0084873302999773,105.0924657914057,nearest_murbain,0.0084873302999773,-73.6704415291883,45.4294602039142,5602,13.255201403948195,2
799,12543.81174720031,9.654596498793811,5667.431449777537,7.461280540616704,0.0056206895164795,104.20076915530568,nearest_murbain,0.0056206895164795,-73.6705027735473,45.429384794671,5602,13.255201403948195,2
800,11960.78915335942,463.5943781449872,3758.570852150896,8.97594751417437,0.003320547443981,6.884431598546123,nearest_murbain,0.003320547443981,-73.6152995043729,45.415897079633,4613,28.604172105969564,2
801,10443.874337292096,534.8267241854317,2137.6660212902134,19.767296583216712,0.0084693062427362,8.704219176620974,nearest_murbain,0.0084693062427362,-73.5955370428475,45.4266640082063,4613,28.604172105969564,2
802,9038.498537805084,293.14651089456885,1076.935838536439,35.50176462583249,0.0075980999743834,83.23158922665677,nearest_murbain,0.0075980999743834,-73.6088457604698,45.4420151275477,4739,96.49615477175658,12
803,9131.951597978528,127.51768639083808,916.280293769889,7.009713426203751,0.0083664651355133,188.34431818690652,nearest_murbain,0.0083664651355133,-73.6002845085684,45.4394150110186,4739,96.49615477175658,12
804,8407.00094196156,214.4658476545332,284.14589633358605,271.9524116973916,0.0058041195494412,100.40951978367563,nearest_murbain,0.0058041195494412,-73.5965225994334,45.4454926170262,4739,96.49615477175658,12
805,8483.652777797093,88.8290298982444,500.6006130288149,105.09712391212324,0.0043115476425028,27.89559714006948,nearest_murbain,0.0043115476425028,-73.6009197316599,45.4455527062677,4739,96.49615477175658,12
806,8407.766974735594,124.6067274504848,479.0723811985018,181.1150644981228,0.0044668754614999,56.45570659034372,nearest_murbain,0.0044668754614999,-73.5991896436921,45.4459389084864,4739,96.49615477175658,12
807,8525.047980147065,45.70993240367165,566.6688400513157,188.7149232265488,0.0038347067224269,5.408395891643786,nearest_murbain,0.0038347067224269,-73.6000843921209,45.4450113702856,4739,96.49615477175658,12
808,8556.616613921467,45.70993240367165,552.5348606546293,234.41425022629477,0.0048099973653274,42.86416242772028,nearest_murbain,0.0048099973653274,-73.5997762068996,45.4446619573138,4739,96.49615477175658,12
809,9237.736053489947,66.24749276990309,1235.725912052068,5.835291882282584,0.0081972338010941,218.32848226737747,nearest_murbain,0.0081972338010941,-73.6069953405232,45.4397216210676,4739,96.49615477175658,12
810,8857.845835432794,284.3677451474431,638.369393967449,4.797648140850286,0.0015659820255738,87.3391996676756,nearest_murbain,0.0015659820255738,-73.5985289430859,45.4416553729242,4739,96.49615477175658,12
811,9248.549728061247,127.51768639083808,1043.756313149657,66.11539273202519,0.0076992063507747,315.5659895327136,nearest_murbain,0.0076992063507747,-73.6012819390826,45.438507618873,4739,96.49615477175658,12
812,8711.312275915583,355.70255485963406,725.1663237006118,8.062054903497406,0.0025898171314753,106.8994122399944,nearest_murbain,0.0025898171314753,-73.6058689639818,45.4444342093047,4739,96.49615477175658,12
813,871.7349949539798,96.9308754370914,253.3101257591072,73.76491299120019,0.003241519209646,52.2831606264572,nearest_murbain,0.003241519209646,-73.5854573792679,45.5157759402544,3985,11.780499831836885,9
814,909.880162218173,37.91716346705451,309.9434604578433,11.988851338097614,0.0064443112188088,50.37984729050057,nearest_murbain,0.0064443112188088,-73.584762948647,45.5150532553701,3985,11.780499831836885,9
815,909.4752920078538,37.91716346705451,324.8182878971077,16.03963185912469,0.0053653787388751,22.87918645463365,nearest_murbain,0.0053653787388751,-73.5843534822615,45.5148701708428,3985,11.780499831836885,9
816,867.2401663840774,82.24056422098039,282.78899919580266,58.220825162175245,0.0036877895777042,31.231722306800656,nearest_murbain,0.0036877895777042,-73.5833019774264,45.5148378283216,3985,11.780499831836885,9
817,798.6707636248891,75.08686169121063,178.1241485494952,63.373666069887086,0.0101970328049721,30.272215182131475,nearest_murbain,0.0101970328049721,-73.5864517360189,45.5170090539287,3985,11.780499831836885,9
818,760.2790795484711,53.0502415699267,116.30031165325312,24.95569048621943,0.0040528369915187,15.603032688305808,nearest_murbain,0.0040528369915187,-73.5868776186672,45.5176146836084,3985,11.780499831836885,9
819,757.9591044263026,53.0502415699267,104.4464927729107,22.614118545289674,0.0060414997585786,55.570512810312,nearest_murbain,0.0060414997585786,-73.58743074518,45.5178915025215,3985,11.780499831836885,9
820,915.234968472586,161.8702392800641,178.50190705646645,159.11614068961157,0.0046560848485243,166.34313379733558,nearest_murbain,0.0046560848485243,-73.5889359752777,45.5168907974043,3985,11.780499831836885,9
821,845.1895780918569,220.167486907786,227.8784455243283,81.04009545641661,0.0031402065359841,17.423521715232447,nearest_murbain,0.0031402065359841,-73.5808021323056,45.5139238555071,3903,2.567424029794268,1
822,1138.6503815866802,125.2450369691096,100.72643869669758,5.009375911033764,0.0076513243933011,129.4069971676108,nearest_murbain,0.0076513243933011,-73.5676870151644,45.5292217427946,5604,34.29138171281425,13
823,1039.5202746004215,116.8812652687288,202.76162414383504,46.12206090604541,0.0106751361049414,67.35117090744066,nearest_murbain,0.0106751361049414,-73.5698463258569,45.5291529550049,5604,34.29138171281425,13
824,924.0020456328556,65.95577085614558,110.97929317858858,45.50689851734333,0.0068728623647894,20.18154318992741,nearest_murbain,0.0068728623647894,-73.5708502130028,45.5283731662185,5604,34.29138171281425,13
825,895.2600500503448,49.33559114763285,167.95747051091135,113.60657956705232,0.0080212387000976,34.129416692778,nearest_murbain,0.0080212387000976,-73.5703298808862,45.5278219763884,5604,34.29138171281425,13
826,864.7286519712757,65.95577085614558,128.10279208105908,75.37000252567645,0.0025174620334798,5.2579038147994295,nearest_murbain,0.0025174620334798,-73.5709591887615,45.5277846938052,5604,34.29138171281425,13
